60092,MBA INTERNSHIP ,BAD,Graduate standing and special approval.,,Practical experience with a commercial or non-profit organization under the guidance of a member of the graduate faculty. Periodic progress reports are required with a graduate level quality paper and possible presentation at the end of the course.,2011
60093,VARIABLE TITLE WORKSHOP-BUSINESS ADMINISTATION ,BAD,Graduate standing.,,Workshops on selected business administration subjects designed to meet needs of special groups.,2011
60095,SPECIAL TOPICS IN BUSINESS ADMINISTRATION ,BAD,Graduate standing.,,In-depth exposure to selected topics in business administration. Topics will vary depending on instructor and topic of current interest. Repeated enrollment for different topics is permitted.,2011
60096,INDIVIDUAL INVESTIGATION ,BAD,Graduate standing and special approval. 2.000 OR,,"For M.B.A, M.S. or M.A. candidates who have completed a minimum 12 hours of work of superior quality with permission of the director graduate school of management.",2011
60098,RESEARCH ,BAD,Graduate standing.,,Research or individual investigation for master's level graduate students. Credits earned may be applied toward meeting degree requirements if the department approves.,2011
60199,THESIS I ,BAD,Graduate standing.,,"Thesis students must register for a total of 6 hours, 2 to 6 hours in a single semester distributed over several semesters if desired.",2011
60299,THESIS II ,BAD,BAD 60199. Graduate standing.,,Thesis students must continue registration each semester until all degree requirements are met.,2011
61093,WORKSHOP IN COLLEGE TEACHING ,BAD,Graduate standing. 1.000 OR,,A series of seminars devoted to enhancing doctoral students' teaching abilities. This course is open to all doctoral students but is intended for students newly enrolled in the program.,2011
61094,COLLEGE TEACHING ,BAD,Graduate standing. 1.000 OR,,"Training, supervision and evaluation in college level instruction. Maximum of 2 hours applicable toward degree. Repeated registration permitted.",2011
68051,BUSINESS PROFESSIONAL DEVELOPMENT ,BAD,admission to MBA program.,,Development of professional business skills for the full-time MBA student to use in career development during and after graduation. Students must continue registration each semester until all degree requirements are met.,2011
70092,MBA INTERNSHIP ,BAD,Special approval and doctoral standing.,,Practical experience with a commercial or non-profit organization under the guidance of a member of the graduate faculty. Periodic progress reports are required with a graduate-level quality paper and possible presentation at the end of the course.,2011
70093,VARIABLE TITLE WORKSHOP ,BAD,Doctoral standing.,,Workshops on selected business administration subjects designed to meet needs of special groups.,2011
70198,RESEARCH ,BAD,Doctoral standing.,,"Research or individual investigation for doctoral level students, or master's students with at least 34 hours of graduate coursework.",2011
71093,WORKSHOP IN COLLEGE TEACHING ,BAD,Doctoral standing. 1.000 OR,,A series of seminars devoted to enhancing doctoral students' teaching abilities. This course is open to all doctoral students but is intended for students newly enrolled in the program.,2011
71094,COLLEGE TEACHING ,BAD,Doctoral standing. 1.000 OR,,"Training, supervision and evaluation in college level instruction. Maximum of 2 hours applicable toward degree.",2011
72021,BUSINESS CONDITIONS ANALYSIS AND PUBLIC POLICY ,BAD,BAD 64005 (may be taken concurrently). Doctoral standing.,,"Analysis of forces determining economic growth, employment, inflation and international competitiveness, with emphasis on understanding the business cycle and government stabilization policies.",2011
72022,MANAGERIAL ECONOMICS ,BAD,BAD 64005; and MATH 11012 or MATH 12002 or ECON 62010;and doctoral standing.,,"Uses economic theory and quantitative methodologies to develop decision-making skills which enable managers of local, national and multinational companies to evaluate problems and allocate resources efficiently.",2011
72050,MICROECONOMIC THEORY I  ,BAD,ECON 62022. Doctoral standing.,,"Comprehensive analysis of methodology of economics, consumer behavior, production and costs, the firm, markets and welfare economics. It would be useful if the student had some facility in integral and differential calculus.",2011
72051,MACROECONOMIC THEORY I ,BAD,ECON 62021; ECON 62022; doctoral standing.,,"Analysis of the determination of the level of income, employment, inflation, economic growth, consumption, investment, money demand and supply, the international sector and economic policy are discussed.",2011
72054,ECONOMETRICS I ,BAD,Doctoral standing.,,Introduction to problems and methods of the empirical estimation of economic relationships.,2011
72055,ECONOMETRICS II ,BAD,ECON 62054 and doctoral standing.,,"Covers generalized linear regression, mixed estimation, simultaneous equation systems, their identification and estimation by single equation and systems estimation.",2011
72056,TIME SERIES ANALYSIS ,BAD,Permission of instructor; doctoral standing.,,"Covers various linear and nonlinear time series models, market risk and value at risk (VAR). Students will gain hands on-experience with all models learned in the course. This course uses advanced analytical software and hardware on the financial engineering trading floor.",2011
72061,MONETARY THEORY AND POLICY ,BAD,ECON 62021; doctoral standing.,,"A study of the nature and definition of money, its relationship to prices, output, employment, and interest rates and, problems related to the conduct of monetary policy.",2011
72071,LABOR ECONOMICS ,BAD,ECON 62022; doctoral standing.,,"Theoretical and applied analyses of wage determination, the supply of skills, labor market discrimination, and the effects of trade unions and government policies.",2011
72075,INTERNATIONAL TRADE ,BAD,ECON 62021 and ECON 62022; doctoral standing.,,"Study of modern international trade theory and policy, including free trade areas, international trade organizations, current issues in international trade and the effect of international trade on domestic policy.",2011
72076,INTERNATIONAL FINANCE ,BAD,ECON 62021; doctoral standing.,,"Study of the international monetary relations between nations, including the determination of exchange rates, managed exchange rate policies, balance of payments crises, optimum currency areas and, international capital flows.",2011
72077,ECONOMIC PROBLEMS OF DEVELOPING AREAS ,BAD,ECON 52076. Doctoral standing.,,In-depth analysis of selected topics and issues in development economics.,2011
72078,SEMINAR IN INTERNATIONAL ECONOMICS ,BAD,ECON 62075 and 62076. Doctoral standing.,,Analysis of recent contributions and current problems in international trade and finance.,2011
72180,REGIONAL ECONOMICS ,BAD,Doctoral standing.,,Examines techniques of regional economic analysis with the object of promoting understanding of interregional disparities in developed nations and policies for alleviating problems arising from disparities.,2011
72182,PUBLIC EXPENDITURE AND COST BENEFIT ANALYSIS ,BAD,ECON 62022; doctoral standing.,,Theoretical and applied aspects of public expenditure and cost benefit analysis. Uses economic theory to appraise public expenditure alternatives in advanced and developing countries.,2011
73038,ACCOUNTING FOR MANAGERIAL ACTION AND EVALUATION ,BAD,Special approval and doctoral standing.,,Review of cost accounting concepts and cost behavior. In depth study of analyzing costs for pricing and product mix decisions activity based cost systems budgeting planning and control issues methods of remaining competitive in a global environment compensation issues.,2011
74004,QUANTITATIVE METHODS IN BUSINESS ADMINISTRATION I ,BAD,Doctoral standing.,,"Introduction to fundamentals of matrix algebra, differential calculus and linear programming. Both algebraic and transcendental functions are included in discussion.",2011
80091,DOCTORAL SEMINAR ,BAD,Admission to Ph.D. program.,,A continuing seminar for all students in the Ph.D. program which cuts across all areas of functional specialization.,2011
80098,RESEARCH ,BAD,"Ph.D. standing, special approval.",,Research or individual investigation for doctoral students who have not yet passed their candidacy examination. Usually research applied toward dissertation.,2011
80199,DISSERTATION I ,BAD,Special approval and doctoral standing.,,"Doctoral dissertation for which registration in at least two semesters is required, first of which will be semester in which dissertation work is begun and continuing until the completion of 30 hours.",2011
80299,DISSERTATION II ,BAD,BAD 80199. Doctoral standing.,,Continuing registration required of doctoral students who have completed the initial 30 hours of dissertation and continuing until all degree requirements are met.,2011
84011,SYSTEMS SIMULATION ,BAD,special approval and doctoral standing.,,"Techniques and applications of computer simulation of existing or proposed real-world systems. Use of simulation language, simulation studies, analysis of interpretation and of results.",2011
84023,LINEAR STATISTICAL MODELS ,BAD,doctoral standing.,,Linear statistical models for regression and analysis of variance.,2011
