Course Number,Course Name,Department,Prerequisites,Corequesites,Description
VCD 13000 ,"INTRODUCTION TO VISUAL COMMUNICATION DESIGN
",VCD,photo illustration (PHOI) or visual communication design (VCD) major or design (DSGN) minor.,None,"Introduction to the fields of design and illustration as well as the related professional practices. Focus on
 historical overview, industry standards, ethics, employment opportunities, creative design processes and skills."
VCD 13001 ,"INTRODUCTION TO VISUAL COMMUNICATION DESIGN STUDIO
",VCD,"photo illustration (PHOI) major,visual communication design (VCD) major, or design minor (DSGN).
",None,"Introduction to basic design processes using research,writing conceptual
problem solving and format
 organization of two dimensional space utilizing type and imagery."
VCD 14001 ,"VISUAL DESIGN LITERACY
",VCD,none.,None,"Examines the topics visual communication design theory, two-dimensional graphic design, environmental
 graphic design, typography, illustration, photographic illustration, and interactive media. Introduction to how
and why professionals in the field of visual communication design create
meaning and context through their
 work. Students explore the language of visual communication, how it is influenced by form, content and
context."
VCD 14002 ,"COMMUNICATING WITH COLOR
",VCD,none.,None,"Introduction to color as it applies to fields of design and related areas. Topics covered include the vocabulary of
 color, the primary elements of color theory, color systems, color printing, color in film and online, and the
 effects of lighting on color. Students gain an appreciation for how color influences design and commerce
 through an understanding of basic practices of color forecasting and a study of how
color perception is
 influenced by cultural differences."
VCD 17000 ,"COLOR:THEORY AND APPLICATION
",VCD,None.,None,Color and its interaction through a series of nonapplied (abstract) exercises.
VCD 20000 ,"BASIC COMPUTER-GRAPHIC DESIGN AND ILLUSTRATION
",VCD,visual communication design (VCD) or photo illustration (PHOI) majors.,None,"Introduction of basic operating system of Macintosh hardware and major design software for creation of layouts,
 vector and raster graphics. Explore production and peripheral equipment including scanners and printers."
VCD 20003 ,"INTERMEDIATE COMPUTER-GRAPHIC DESIGN/ILLUSTRATION
",VCD,VCD 20000.,None,"A technical, studio course designed to teach the fundamentals of Web design in GoLive and Flash. Material is
 presented throughout a series of
demos, exercises and projects."
VCD 20010 ,"INTRODUCTION TO DESIGN RESEARCH
",VCD,"VCD23001 and visual communication design (VCD) or photo illustration (PHOI) major or information design (INFD)
 minor.
",None,"Introduction to research methods used in the professional practice of visual communication design. Students
2015 Kent State University Catalog - Spring 2016 Course Descriptions
are exposed to strategies, tactics
and frameworks used in the creation of design artifacts."
VCD 20096 ,"PHOTO ILLUSTRATION SOPHOMORE PORTFOLIO REVIEW
",VCD,VCD 28002 and photo illustration (PHOI) major. ,VCD 20010 and 38003.,"VCD faculty review student protfolios of work from prerequisite and corequisite courses. A diagnostic
 examination to evaluate technical proficiency and formal organizational ability also is included in this review."
VCD 20196 ,"VCD SOPHOMORE PORTFOLIO REVIEW
",VCD,visual communication design majors (VCD); andVCD 22000; and VCD 23001 with a minimum grade of B (3.000). ,VCD 33000 and VCD 22001.,"Projects from Visual Communication Design freshman- and sophomore-level studio courses will comprise a
 portfolio to be critiqued by VCD faculty.
A successful portfolio review will determine if the student is to advance
 in the BA program or enter the BFA program."
VCD 22000 ,"DESIGN/ILLUSTRATION TECHNIQUES I
",VCD,"VCD 13000; and VCD 13001 with a minimum B- grade; and visual communication design (VCD) major ordesign (DSGN) minor.
",None,"Introductory course in design/illustration. Object drawing with emphasis
toward rendering materials and
 techniques used in reproduction, perspective, spacial organization and use of reference material."
VCD 22001 ,"DESIGN/ILLUSTRATION TECHNIQUES II
",VCD,VCD 22000 and 23001; and visual communication design (VCD) major. ,"VCD 330002015 Kent State University Catalog - Spring 2016 Course Descriptions
and VCD 20196.
","Continuation of Design Illustration Techniques I with expanded emphasis on black and white media used for
 illustration purposes with emphasis on
media capable of reproduction by traditional printing methods."
VCD 23000 ,"INTERMEDIATE STUDIO SKILLS:GRAPHIC DESIGN AND ILLUSTRATION
",VCD,VCD 23001.,None,"A technical lecture course designed to outline the process and describe and discuss the technologies and
 vocabulary used in the printing industry."
VCD 23001 ,"INTRODUCTION TO TYPOGRAPHY
",VCD,"VCD 13000; and VCD 13001 with a minimum grade of B- (2.700); and photoillustration
(PHOI) or visual communication design (VCD) or design (DSGN) minor. 
",None,"Historical study of letter forms and their application to the development of new forms. Execution and use of
 letter forms as design elements in layout and illustration using fundamental typographic theories and rules of
 spatial organization."
VCD 28000 ,"PHOTOGRAPHY
",VCD,"visual communication design (VCD) major; or photo illustration (PHOI) major; orphoto illustration (PHOI) minor.
",None,"Basic camera techniques to provide a better understanding of photography
as a creative skill in visual
 communication."
VCD 28002 ,"PHOTOGRAPHY II
",VCD,"VCD 28000 or JMC22001; and visual communication design (VCD) major; or photo illustration (PHOI) major or minor.
",None,"Course elaborates upon the basic technical information covered in Photography, VCD 28000. Through a set of
 sequential and interrelated problems, the class is designed to touch upon a series of photographic situations
 that frequently affect the working professional in the studio, or in the field."
VCD 28004 ,"PHOTOGRAPHIC PERSPECTIVES
",VCD,"photo illustration (PHOI) major or minor; or photo journalism (PHOJ) major orminor.
",None,"Examines the use of the photographic medium in the context of the commercial marketplace. Discusses the
 advancement of material processes,
provides a comprehensive overview of commercial imagery and market
development, examines industry trends, and introduces several theoretical criticisms pertaining to constructed
 photography."
VCD 30008 ,"JUNIOR PORTFOLIO REVIEW-PHOTO ILLUSTRATION
",VCD,VCD 38004 and photo illustration (PHOI) major. ,VCD 38001.,"Required portfolio review in conference, with the School of Visual Communication Design Faculty, of work
 completed in VCD 38004 and VCD 38001, Students successfully passing review may continue in the B.S. degree
 program in Photo Illustration. Students not receiving a passing grade in the review may not continue in the
 program."
VCD 30009 ,"JUNIOR PORTFOLIO REVIEW:GRAPHIC DESIGN/ILLUSTRATION
",VCD,visualcommunication design (VCD) major;VCD 32000 and 33000 and ,None,"Required portfolio review in conference, with the school of Visual Communication Design Faculty, of work
 completed in VCD 32000, 32001, 33000 and 33001. Students successfully passing review may continue in the
 B.A. degree. To change to the B.F.A. program, students must be nominated by a majority of the VCD faculty.
 Students not receiving a passing grade in the review may not continue in the program."
VCD 32000 ,"ILLUSTRATION I
",VCD,"visual communication design (VCD) major; and VCD 20196 andVCD 20010 and VCD 22001 and VCD 33000.
",None,"Continuation of Design Illustration Techniques I and II with emphasis on
technique and creative solutions as
 they apply to specific illustration
areas: narrative, editorial, book, advertising and institutional."
VCD 32001 ,"ILLUSTRATION II
",VCD,VCD 32000.,None,"Illustration as communication: conceptual problem-solving visualizations
of ideas utilizing felt tip markers as the
 medium of expression."
VCD 33000 ,"GRAPHIC DESIGN I
",VCD,"VCD 22000; and VCD 23001 with a minimum grade of B (3.000); and visualcommunication design (VCD) major.
",VCD 20196 and VCD 22001.,"Continuation of Introduction to Graphic Design and Introduction to Typography in the structuring of 2-D
 communication design utilizing headline, body copy and illustration with the addition of limited conceptual
 content."
VCD 33001 ,"GRAPHIC DESIGN II
",VCD,"visual communication design (VCD)major; and VCD 20196 and VCD 20010 and VCD 22001 and VCD 33000.
",None,"Continuation of Graphic Design I, utilizing basic layout with emphasis on concept as applied to problem-solving
 methodologies through a series of exercises and problems."
VCD 34004 ,"VISUAL ETHICS
",VCD,VCD 14001 or VCD 13000.,None,"An extension of the information covered in the course Visual Literacy or
Introduction to Visual Communication
 Design. Topics include the understanding of visual form, responsibility of the designer, photographer, and
 illustrator and those working in collaboration with visual communicators. Looks at image manipulation,
 copyright laws and ethical and professional guidelines. Also covered are topics such as sustainable design
 practices, acting as an advocate of the consumer and audience member. Discussion topics include credibility,
 dignity and developing a personal philosophy towards visual ethics."
VCD 34005 ,"INTRODUCTION TO 3D GRAPHIC DESIGN
",VCD,"visualcommunication design (VCD) major; and VCD 20196 and VCD 20010 and VCD
22001 and VCD 33000.
",None,"Continuation of Graphic Design I and Introduction to Typography with application of typography and imagery to
 3-D form."
VCD 34006 ,"MOTION DESIGN
",VCD,VCD 33000 or VCD 28002.,None,"A studio course designed to teach the fundamentals of motion graphic design. Materials and information are
 delivered through a series of lectures, demos and hands-on exercises."
VCD 37000 ,"VISUAL DESIGN FOR MEDIA:ADVANCED
",VCD,none.,None,"A lab course in which students apply design concepts to computer-generated communication pieces using a
 layout software program.
May not be used toward degree requirements by visual communication design majors."
VCD 38001 ,"PHOTOGRAPHICS
",VCD,"VCD 13001 and VCD20009 and VCD 28000 and VCD 38004.
",None,"This course explores basic studio setups and controlled lighting with special emphasis on the inter-relationship
 of photography and typography
in communication. Unique solutions are created through the use of the camera
 and image manipulation programs."
VCD 38003 ,"PHOTO TECHNOLOGY
",VCD,"VCD28000; and photo illustration (PHOI) major or minor; or visual communication design (VCD) major.
",None,"2015 Kent State University Catalog - Spring 2016 Course Descriptions
Photo technology is a professional course serving visual communication design students within photo-
illustration. The course is designed to give students an advanced working knowledge of digital and film
photographic systems through testing procedures and use of special purpose materials."
VCD 38004 ,"ADVANCED PHOTOGRAPHY
",VCD,VCD 13001 and VCD 28000.,None,"Use of specialized equipment, materials and techniques. Development of conceptual abilities and problem
 solving skills. Special equipment furnished."
VCD 38009 ,"INTERNSHIP SEMINAR-PHOTO ILLUSTRATION
",VCD,VCD 38004 and photo illustration (PHOI) majors. ,VCD 38001.,"Under the supervision of faculty, student prepare materials such as cover letters, resumes, applications for
 employment and individual portfolios in preparation for interviewing for an internship in their field of study."
VCD 40025 ,"PROFESSIONAL PORTFOLIO
",VCD,"special approval; and photo illustration (PHOI) or visual communication design(VCD) major.
",None,"Develop a senior-level professional portfolio through a selection and refinement of previously completed
 classroom work. Development of projects in areas of deficiency with emphasis on organization and
presentation."
VCD 40052 ,"GRAPHIC DESIGN-TRAVEL AND FIELD EXPERIENCE
",VCD,none.,None,"Development of awareness and understanding in the practical application of graphic design and communication
 through directed field trip experience."
VCD 40053 ,"GRAPHIC DESIGN STUDIO-GLYPHIX
",VCD,none.,None,"(Repeatable for a maximum of 24 credit hours) Professional experience through an internal design studio.
 Involves responsibilities and procedures for the production of communication materials for off-campus clients
 including nonprofit organizations, charities, arts groups and selected on- campus groups and departments."
VCD 40092 ,"INTERNSHIP I-GRAPHIC DESIGN/ILLUSTRATION
",VCD,none.,None,"(Repeatable for credit)Preparation for experience in design studio, agency or company involving design
 responsibilities and procedures to broaden a student's understanding of the profession through real job
situations."
VCD 40095 ,"SPECIAL TOPICS:GRAPHIC DESIGN/ILLUSTRATION
",VCD,special approval.,None,"(Repeatable for a maximum of 9 credit hours)To broaden the course offerings into specialized areas of study in
 graphic design and illustration taught by experts in the profession as guest faculty. Primarily used to fulfill
 electives in graphic design or illustration."
VCD 40096 ,"INDIVIDUAL INVESTIGATION IN GRAPHIC DESIGN AND ILLUSTRATION
",VCD,none.,None,"(Repeatable for a maximum of 16 credit hours)Individual study related to
topics of graphic design and
 illustration approved by and under the direction of a faculty member."
VCD 40192 ,"INTERNSHIP II-GRAPHIC DESIGN/ILLUSTRATION
",VCD,VCD 40092.,None,"(Repeatable for credit)Three credit hours required; maximum of 6 credit hours allowable in BFA degree only.
 Experience in design studio, agency or company involving design responsibilities and procedures to broaden a
 student's understanding of the profession through a real job situation."
VCD 40193 ,"VARIABLE TITLE WORKSHOP IN VCD
",VCD,none.,None,(Repeatable for credit)Workshop setting dealing with intensive examination of special topics in VCD.
VCD 40195 ,"SELECTED TOPICS:GRAPHIC DESIGN/ILLUSTRATION
",VCD,none.,None,(Repeatable for credit)Variable topics related to graphic design and illustration.
VCD 42000 ,"ADVANCED ILLUSTRATION:MEDIA
",VCD,"special approval; and Bachelor of FineArts (BFA) visual communication design (VCD) and junior
standing.
",None,"Discussions and practice of media and grounds as they pertain to the illustration field. Discussion also centers
 around the problems in developing work for reproduction."
VCD 42002 ,"EDITORIAL ILLUSTRATION
",VCD,"special approval; and Bachelorof Fine Arts (BFA) visual communication design (VCD) and junior
standing.
",None,"Exploration and discussion of various illustration techniques and their application in the publishing field.
 Emphasis is placed on client needs,
concept and intended audience."
VCD 42003 ,"ADVERTISING ILLUSTRATION
",VCD,"special approval; and Bachelorof Fine Arts (BFA) visual communication design (VCD) major and junior standing.
",None,"Exploration and discussion of various illustration techniques and their application in advertising. Emphasis is
 placed on client need, concept of solution and intended audience."
VCD 42005 ,"CHARACTER DEVELOPMENT AND DESIGN
",VCD,"VCD 22000, VCD22001, and VCD 32000.
",None,"(Slashed with VCD 52005) Focuses on the application of the fundamental design principles and mechanics used
 when designing characters for film animation, television animation, computer animation, video games, comic
strips, comic books, advertising, editorial illustration and book illustration."
VCD 43000 ,"STUDIO PRODUCTION
",VCD,special approval; and visual communication design (VCD) major and junior standing.,None,"A technical lecture course designed to teach the fundamental techniques and processes of electronic prepress
 and printing production. Material is presented through lectures, demos, tests and field trips."
VCD 43001 ,"INTERACTION DESIGN: COMMUNITIES AND CULTURE
",VCD,"VCD 33001 andspecial approval.
2015 Kent State University Catalog - Spring 2016 Course Descriptions
",None,Interaction design for screen based media that explores communities and culture.
VCD 43002 ,"TYPOGRAPHIC/PHOTOGRAPHIC GRAPHIC DESIGN
",VCD,"special approval; and Bachelor of Fine Arts (BFA) visual communicationdesign (VCD) and junior standing.
",None,"The use of typography (rather than visual imagery) as the primary design
form in solving graphic design
 communication problems."
VCD 43003 ,"CORPORATE IDENTITY/GRAPHIC DESIGN
",VCD,"special approval; and Bachelor of Fine Arts (BFA)visual communication design (VCD) and junior standing.
",None,"Use of graphic design forms (typography, photography and illustration) in the development of corporate
 identification for total advertising programs."
